Date,Open,High,Low,Close,Volume,Adj Close
12/17/15,792.07,792.07,792.07,792.07,0,792.07
12/16/15,785.02,785.02,785.02,785.02,0,785.02
12/15/15,783.65,783.65,783.65,783.65,0,783.65
12/14/15,761.08,761.08,761.08,761.08,0,761.08
12/11/15,777.17,777.17,777.17,777.17,0,777.17
12/10/15,792.78,792.78,792.78,792.78,0,792.78
12/8/15,777.15,777.15,777.15,777.15,0,777.15
12/7/15,793.36,793.36,793.36,793.36,0,793.36
12/4/15,811.72,811.72,811.72,811.72,0,811.72
12/3/15,826.96,826.96,826.96,826.96,0,826.96
12/2/15,833.94,833.94,833.94,833.94,0,833.94
11/27/15,856.3,856.3,856.3,856.3,0,856.3
11/26/15,874.66,874.66,874.66,874.66,0,874.66
11/25/15,878.89,878.89,878.89,878.89,0,878.89
11/24/15,867.54,867.54,867.54,867.54,0,867.54
11/23/15,897.56,897.56,897.56,897.56,0,897.56
11/13/15,814.93,814.93,814.93,814.93,0,814.93
11/12/15,831.95,831.95,831.95,831.95,0,831.95
11/9/15,855.26,855.26,855.26,855.26,0,855.26
11/6/15,854.34,854.34,854.34,854.34,0,854.34
11/5/15,877.26,877.26,877.26,877.26,0,877.26
11/3/15,886.36,886.36,886.36,886.36,0,886.36
10/30/15,845.54,845.54,845.54,845.54,0,845.54
10/29/15,839.57,839.57,839.57,839.57,0,839.57
10/28/15,854.74,854.74,854.74,854.74,0,854.74
10/27/15,839.26,839.26,839.26,839.26,0,839.26
10/26/15,858.01,858.01,858.01,858.01,0,858.01
10/23/15,872.86,872.86,872.86,872.86,0,872.86
10/22/15,860.75,860.75,860.75,860.75,0,860.75
10/21/15,856.88,856.88,856.88,856.88,0,856.88
10/20/15,875.55,875.55,875.55,875.55,0,875.55
10/19/15,868.72,868.72,868.72,868.72,0,868.72
10/15/15,876.23,876.23,876.23,876.23,0,876.23
10/14/15,863.31,863.31,863.31,863.31,0,863.31
10/13/15,866.52,866.52,866.52,866.52,0,866.52
10/12/15,876.42,876.42,876.42,876.42,0,876.42
10/9/15,885.96,885.96,885.96,885.96,0,885.96
10/8/15,856.44,856.44,856.44,856.44,0,856.44
10/7/15,844.12,844.12,844.12,844.12,0,844.12
10/6/15,826.65,826.65,826.65,826.65,0,826.65
10/5/15,805.12,805.12,805.12,805.12,0,805.12
10/2/15,764.93,764.93,764.93,764.93,0,764.93
9/30/15,789.73,789.73,789.73,789.73,0,789.73
9/29/15,784.11,784.11,784.11,784.11,0,784.11
9/28/15,775.73,775.73,775.73,775.73,0,775.73
9/25/15,788.55,788.55,788.55,788.55,0,788.55
9/24/15,769.38,769.38,769.38,769.38,0,769.38
9/23/15,782.07,782.07,782.07,782.07,0,782.07
9/22/15,789.56,789.56,789.56,789.56,0,789.56
9/21/15,808.78,808.78,808.78,808.78,0,808.78
9/18/15,816.56,816.56,816.56,816.56,0,816.56
9/17/15,823.13,823.13,823.13,823.13,0,823.13
9/16/15,837.39,837.39,837.39,837.39,0,837.39
9/15/15,807.52,807.52,807.52,807.52,0,807.52
9/14/15,808.61,808.61,808.61,808.61,0,808.61
9/11/15,799.1,799.1,799.1,799.1,0,799.1
9/10/15,800.49,800.49,800.49,800.49,0,800.49
9/9/15,796.69,796.69,796.69,796.69,0,796.69
9/8/15,793.99,793.99,793.99,793.99,0,793.99
9/7/15,776.17,776.17,776.17,776.17,0,776.17
9/4/15,793.65,793.65,793.65,793.65,0,793.65
9/3/15,805.23,805.23,805.23,805.23,0,805.23
9/2/15,789.39,789.39,789.39,789.39,0,789.39
9/1/15,805.06,805.06,805.06,805.06,0,805.06
8/31/15,833.6,833.6,833.6,833.6,0,833.6
8/28/15,829.95,829.95,829.95,829.95,0,829.95
8/27/15,804.86,804.86,804.86,804.86,0,804.86
8/26/15,754.61,754.61,754.61,754.61,0,754.61
8/25/15,758.46,758.46,758.46,758.46,0,758.46
8/24/15,724.73,724.73,724.73,724.73,0,724.73
8/21/15,762.38,762.38,762.38,762.38,0,762.38
8/20/15,795.51,795.51,795.51,795.51,0,795.51
8/19/15,794.19,794.19,794.19,794.19,0,794.19
8/18/15,809.64,809.64,809.64,809.64,0,809.64
8/17/15,825.12,825.12,825.12,825.12,0,825.12
8/14/15,835.17,835.17,835.17,835.17,0,835.17
8/13/15,828.93,828.93,828.93,828.93,0,828.93
8/12/15,831.57,831.57,831.57,831.57,0,831.57
8/11/15,830.33,830.33,830.33,830.33,0,830.33
8/10/15,848.08,848.08,848.08,848.08,0,848.08
8/7/15,832.47,832.47,832.47,832.47,0,832.47
8/6/15,820.43,820.43,820.43,820.43,0,820.43
8/5/15,843.9,843.9,843.9,843.9,0,843.9
8/4/15,837.43,837.43,837.43,837.43,0,837.43
8/3/15,834.89,834.89,834.89,834.89,0,834.89
7/31/15,858.82,858.82,858.82,858.82,0,858.82
7/30/15,867.74,867.74,867.74,867.74,0,867.74
7/29/15,865.84,865.84,865.84,865.84,0,865.84
7/28/15,839.25,839.25,839.25,839.25,0,839.25
7/27/15,840.37,840.37,840.37,840.37,0,840.37
7/24/15,859.12,859.12,859.12,859.12,0,859.12
7/23/15,884.47,884.47,884.47,884.47,0,884.47
7/22/15,901.76,901.76,901.76,901.76,0,901.76
7/21/15,905.33,905.33,905.33,905.33,0,905.33
7/20/15,900.65,900.65,900.65,900.65,0,900.65
7/17/15,912.44,912.44,912.44,912.44,0,912.44
7/16/15,919.81,919.81,919.81,919.81,0,919.81
7/15/15,909.45,909.45,909.45,909.45,0,909.45
7/14/15,919.79,919.79,919.79,919.79,0,919.79
7/13/15,915.47,915.47,915.47,915.47,0,915.47
7/10/15,905.2,905.2,905.2,905.2,0,905.2
7/9/15,889.76,889.76,889.76,889.76,0,889.76
7/8/15,875.67,875.67,875.67,875.67,0,875.67
7/7/15,885.78,885.78,885.78,885.78,0,885.78
7/6/15,902.88,902.88,902.88,902.88,0,902.88
7/3/15,919.61,919.61,919.61,919.61,0,919.61
7/2/15,932.04,932.04,932.04,932.04,0,932.04
7/1/15,930.66,930.66,930.66,930.66,0,930.66
6/30/15,939.93,939.93,939.93,939.93,0,939.93
6/29/15,928.03,928.03,928.03,928.03,0,928.03
6/26/15,943.01,943.01,943.01,943.01,0,943.01
6/25/15,941.32,941.32,941.32,941.32,0,941.32
6/24/15,951.45,951.45,951.45,951.45,0,951.45
6/23/15,964.32,964.32,964.32,964.32,0,964.32
6/22/15,978.85,978.85,978.85,978.85,0,978.85
6/19/15,966.9,966.9,966.9,966.9,0,966.9
6/18/15,981.82,981.82,981.82,981.82,0,981.82
6/17/15,966.55,966.55,966.55,966.55,0,966.55
6/16/15,978.29,978.29,978.29,978.29,0,978.29
6/15/15,957.38,957.38,957.38,957.38,0,957.38
6/11/15,950.38,950.38,950.38,950.38,0,950.38
6/10/15,958.97,958.97,958.97,958.97,0,958.97
6/9/15,943.54,943.54,943.54,943.54,0,943.54
6/8/15,923.23,923.23,923.23,923.23,0,923.23
6/5/15,922.67,922.67,922.67,922.67,0,922.67
6/4/15,922.63,922.63,922.63,922.63,0,922.63
6/3/15,947.28,947.28,947.28,947.28,0,947.28
6/2/15,973.45,973.45,973.45,973.45,0,973.45
6/1/15,953.88,953.88,953.88,953.88,0,953.88
5/29/15,968.81,968.81,968.81,968.81,0,968.81
5/28/15,990.87,990.87,990.87,990.87,0,990.87
5/27/15,1012.21,1012.21,1012.21,1012.21,0,1012.21
5/26/15,1025.16,1025.16,1025.16,1025.16,0,1025.16
5/25/15,1041.58,1041.58,1041.58,1041.58,0,1041.58
